Tamanho,Iteracao,Tipo,Tempo_ms
50,1,estatico_rapido,0.002
50,1,estatico_lento,0.002
50,1,dinamico_rapido,0.002
50,1,dinamico_lento,0.002
50,2,estatico_rapido,0.002
50,2,estatico_lento,0.002
50,2,dinamico_rapido,0.002
50,2,dinamico_lento,0.002
50,3,estatico_rapido,0.002
50,3,estatico_lento,0.002
50,3,dinamico_rapido,0.002
50,3,dinamico_lento,0.002
50,4,estatico_rapido,0.002
50,4,estatico_lento,0.002
50,4,dinamico_rapido,0.001
50,4,dinamico_lento,0.002
50,5,estatico_rapido,0.002
50,5,estatico_lento,0.002
50,5,dinamico_rapido,0.002
50,5,dinamico_lento,0.002
50,6,estatico_rapido,0.002
50,6,estatico_lento,0.002
50,6,dinamico_rapido,0.002
50,6,dinamico_lento,0.002
50,7,estatico_rapido,0.002
50,7,estatico_lento,0.002
50,7,dinamico_rapido,0.002
50,7,dinamico_lento,0.002
50,8,estatico_rapido,0.001
50,8,estatico_lento,0.002
50,8,dinamico_rapido,0.002
50,8,dinamico_lento,0.002
50,9,estatico_rapido,0.002
50,9,estatico_lento,0.001
50,9,dinamico_rapido,0.002
50,9,dinamico_lento,0.002
50,10,estatico_rapido,0.002
50,10,estatico_lento,0.002
50,10,dinamico_rapido,0.001
50,10,dinamico_lento,0.002
100,1,estatico_rapido,0.005
100,1,estatico_lento,0.007
100,1,dinamico_rapido,0.005
100,1,dinamico_lento,0.007
100,2,estatico_rapido,0.005
100,2,estatico_lento,0.007
100,2,dinamico_rapido,0.005
100,2,dinamico_lento,0.007
100,3,estatico_rapido,0.005
100,3,estatico_lento,0.007
100,3,dinamico_rapido,0.005
100,3,dinamico_lento,0.007
100,4,estatico_rapido,0.005
100,4,estatico_lento,0.007
100,4,dinamico_rapido,0.005
100,4,dinamico_lento,0.008
100,5,estatico_rapido,0.005
100,5,estatico_lento,0.007
100,5,dinamico_rapido,0.005
100,5,dinamico_lento,0.007
100,6,estatico_rapido,0.005
100,6,estatico_lento,0.007
100,6,dinamico_rapido,0.005
100,6,dinamico_lento,0.007
100,7,estatico_rapido,0.005
100,7,estatico_lento,0.007
100,7,dinamico_rapido,0.005
100,7,dinamico_lento,0.007
100,8,estatico_rapido,0.005
100,8,estatico_lento,0.007
100,8,dinamico_rapido,0.005
100,8,dinamico_lento,0.007
100,9,estatico_rapido,0.005
100,9,estatico_lento,0.007
100,9,dinamico_rapido,0.005
100,9,dinamico_lento,0.007
100,10,estatico_rapido,0.005
100,10,estatico_lento,0.007
100,10,dinamico_rapido,0.005
100,10,dinamico_lento,0.010
150,1,estatico_rapido,0.015
150,1,estatico_lento,0.016
150,1,dinamico_rapido,0.016
150,1,dinamico_lento,0.016
150,2,estatico_rapido,0.014
150,2,estatico_lento,0.016
150,2,dinamico_rapido,0.015
150,2,dinamico_lento,0.016
150,3,estatico_rapido,0.015
150,3,estatico_lento,0.015
150,3,dinamico_rapido,0.013
150,3,dinamico_lento,0.014
150,4,estatico_rapido,0.015
150,4,estatico_lento,0.016
150,4,dinamico_rapido,0.014
150,4,dinamico_lento,0.016
150,5,estatico_rapido,0.014
150,5,estatico_lento,0.016
150,5,dinamico_rapido,0.014
150,5,dinamico_lento,0.016
150,6,estatico_rapido,0.015
150,6,estatico_lento,0.017
150,6,dinamico_rapido,0.015
150,6,dinamico_lento,0.016
